d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
1.161535576439078010e+00,-5.872073692185379912e+01,-6.607881131090731230e+01,-6.057215695219127838e+01,-6.612628010103455267e+01,-5.639126224570568269e+01
1.168244558655989751e+00,-5.872165914685434984e+01,-6.607904721581662955e+01,-6.052034756132059101e+01,-6.612706333975005180e+01,-5.641236740021990670e+01
1.174992291681141499e+00,-5.872259185688169225e+01,-6.607928584071262890e+01,-6.046810413460703160e+01,-6.612785557921806401e+01,-5.643399754485977127e+01
1.181778999337625091e+00,-5.872353516885286240e+01,-6.607952721680392472e+01,-6.041543517166968513e+01,-6.612865692202385048e+01,-5.645616578987151968e+01
1.188604906741324241e+00,-5.872448920093624736e+01,-6.607977137565360692e+01,-6.036234946547524061e+01,-6.612946747190234476e+01,-5.647888558416844518e+01
1.195470240308384113e+00,-5.872545407256382077e+01,-6.608001834918324846e+01,-6.030885610052779100e+01,-6.613028733375058721e+01,-5.650217072444408473e+01
1.202375227762719545e+00,-5.872642990444344235e+01,-6.608026816967684169e+01,-6.025496445095885178e+01,-6.613111661364025906e+01,-5.652603536452260613e+01
1.209320098143569444e+00,-5.872741681857120000e+01,-6.608052086978487694e+01,-6.020068417855296161e+01,-6.613195541883038686e+01,-5.655049402493975919e+01
1.216305081813094047e+00,-5.872841493824390113e+01,-6.608077648252837832e+01,-6.014602523070865914e+01,-6.613280385778014647e+01,-5.657556160276133284e+01
1.223330410464016582e+00,-5.872942438807166354e+01,-6.608103504130302497e+01,-6.009099783835833364e+01,-6.613366204016182337e+01,-5.660125338163594222e+01
1.230396317127307348e+00,-5.873044529399052749e+01,-6.608129657988334316e+01,-6.003561251385592357e+01,-6.613453007687381557e+01,-5.662758504208412802e+01
1.237503036179914639e+00,-5.873147778327520285e+01,-6.608156113242681329e+01,-5.997988004885517910e+01,-6.613540808005390659e+01,-5.665457267201865221e+01
1.244650803352537638e+00,-5.873252198455191575e+01,-6.608182873347823261e+01,-5.992381151217730917e+01,-6.613629616309256676e+01,-5.668223277750080058e+01
1.251839855737447493e+00,-5.873357802781137593e+01,-6.608209941797392162e+01,-5.986741824770913212e+01,-6.613719444064636832e+01,-5.671058229371662662e+01
1.259070431796349698e+00,-5.873464604442170867e+01,-6.608237322124612945e+01,-5.981071187231837172e+01,-6.613810302865159940e+01,-5.673963859618049099e+01
1.266342771368295761e+00,-5.873572616714162820e+01,-6.608265017902732552e+01,-5.975370427382075178e+01,-6.613902204433802012e+01,-5.676941951214972448e+01
1.273657115677636842e+00,-5.873681853013359699e+01,-6.608293032745469020e+01,-5.969640760900888665e+01,-6.613995160624267555e+01,-5.679994333224261993e+01
1.281013707342026908e+00,-5.873792326897715554e+01,-6.608321370307460541e+01,-5.963883430175647504e+01,-6.614089183422389340e+01,-5.683122882224906647e+01
1.288412790380468964e+00,-5.873904052068227344e+01,-6.608350034284710262e+01,-5.958099704120854057e+01,-6.614184284947542380e+01,-5.686329523512088713e+01
1.295854610221410796e+00,-5.874017042370279995e+01,-6.608379028415049561e+01,-5.952290878008763997e+01,-6.614280477454069285e+01,-5.689616232311666977e+01
1.303339413710883798e+00,-5.874131311795004251e+01,-6.608408356478595636e+01,-5.946458273311321108e+01,-6.614377773332724075e+01,-5.692985035008841521e+01
1.310867449120692863e+00,-5.874246874480643754e+01,-6.608438022298224723e+01,-5.940603237555944816e+01,-6.614476185112118856e+01,-5.696438010387896611e+01
1.318438966156650238e+00,-5.874363744713922131e+01,-6.608468029740028271e+01,-5.934727144196378390e+01,-6.614575725460203159e+01,-5.699977290880149638e+01
1.326054215966858907e+00,-5.874481936931431392e+01,-6.608498382713807473e+01,-5.928831392500201503e+01,-6.614676407185733353e+01,-5.703605063816421250e+01
1.333713451150043028e+00,-5.874601465721018201e+01,-6.608529085173545070e+01,-5.922917407453590499e+01,-6.614778243239778988e+01,-5.707323572680385837e+01
1.341416925763926793e+00,-5.874722345823187197e+01,-6.608560141117888520e+01,-5.916986639686760441e+01,-6.614881246717233410e+01,-5.711135118356753537e+01
1.349164895333661685e+00,-5.874844592132507159e+01,-6.608591554590643113e+01,-5.911040565418328185e+01,-6.614985430858330062e+01,-5.715042060370531374e+01
1.356957616860301696e+00,-5.874968219699026406e+01,-6.608623329681276459e+01,-5.905080686423320913e+01,-6.615090809050195730e+01,-5.719046818108865438e+01
1.364795348829328292e+00,-5.875093243729704540e+01,-6.608655470525408759e+01,-5.899108530023832486e+01,-6.615197394828393840e+01,-5.723151872019322184e+01
1.372678351219225323e+00,-5.875219679589839927e+01,-6.608687981305324399e+01,-5.893125649104565156e+01,-6.615305201878497598e+01,-5.727359764775449236e+01
1.380606885510101023e+00,-5.875347542804516365e+01,-6.608720866250482118e+01,-5.887133622154887291e+01,-6.615414244037680191e+01,-5.731673102399406616e+01
1.388581214692362398e+00,-5.875476849060051165e+01,-6.608754129638035124e+01,-5.881134053337626000e+01,-6.615524535296303554e+01,-5.736094555330971900e+01
1.396601603275438475e+00,-5.875607614205456031e+01,-6.608787775793348374e+01,-5.875128572586977072e+01,-6.615636089799535569e+01,-5.740626859429070095e+01
1.404668317296553504e+00,-5.875739854253903616e+01,-6.608821809090530053e+01,-5.869118835736381357e+01,-6.615748921848988573e+01,-5.745272816891098699e+01
1.412781624329552344e+00,-5.875873585384204034e+01,-6.608856233952964487e+01,-5.863106524677392883e+01,-6.615863045904349349e+01,-5.750035297073058160e+01
1.420941793493775807e+00,-5.876008823942287052e+01,-6.608891054853845048e+01,-5.857093347551267470e+01,-6.615978476585048895e+01,-5.754917237190498724e+01
1.429149095462985963e+00,-5.876145586442697066e+01,-6.608926276316728377e+01,-5.851081038973921977e+01,-6.616095228671933626e+01,-5.759921642878356352e+01
1.437403802474346737e+00,-5.876283889570088803e+01,-6.608961902916074393e+01,-5.845071360296201846e+01,-6.616213317108957881e+01,-5.765051588583546049e+01
1.445706188337451792e+00,-5.876423750180733663e+01,-6.608997939277806211e+01,-5.839066099900072260e+01,-6.616332757004889231e+01,-5.770310217761667815e+01
1.454056528443408602e+00,-5.876565185304039574e+01,-6.609034390079870036e+01,-5.833067073532306779e+01,-6.616453563635030832e+01,-5.775700742844301061e+01
1.462455099773972478e+00,-5.876708212144072263e+01,-6.609071260052799346e+01,-5.827076124676767677e+01,-6.616575752442960834e+01,-5.781226444939179743e+01
1.470902180910733215e+00,-5.876852848081079372e+01,-6.609108553980293266e+01,-5.821095124966608125e+01,-6.616699339042281736e+01,-5.786890673220013070e+01
1.479398052044357703e+00,-5.876999110673037308e+01,-6.609146276699783584e+01,-5.815125974637797412e+01,-6.616824339218393902e+01,-5.792696843956772312e+01
1.487942994983881828e+00,-5.877147017657190275e+01,-6.609184433103030187e+01,-5.809170603024683999e+01,-6.616950768930280447e+01,-5.798648439131013532e+01
1.496537293166059435e+00,-5.877296586951599977e+01,-6.609223028136705125e+01,-5.803230969099740122e+01,-6.617078644312313429e+01,-5.804749004571885251e+01
1.505181231664763475e+00,-5.877447836656710933e+01,-6.609262066802985203e+01,-5.797309062057981066e+01,-6.617207981676061479e+01,-5.811002147541220353e+01
1.513875097200441777e+00,-5.877600785056909416e+01,-6.609301554160157366e+01,-5.791406901948164432e+01,-6.617338797512135784e+01,-5.817411533684640546e+01
1.522619178149628105e+00,-5.877755450622102273e+01,-6.609341495323229765e+01,-5.785526540351293079e+01,-6.617471108492036080e+01,-5.823980883255903507e+01
1.531413764554507173e+00,-5.877911852009290072e+01,-6.609381895464537138e+01,-5.779670061109131041e+01,-6.617604931470015117e+01,-5.830713966506702661e+01
1.540259148132535394e+00,-5.878070008064155871e+01,-6.609422759814363246e+01,-5.773839581102354401e+01,-6.617740283484971542e+01,-5.837614598122733867e+01
1.549155622286117584e+00,-5.878229937822655415e+01,-6.609464093661573258e+01,-5.768037251082187566e+01,-6.617877181762341365e+01,-5.844686630565967533e+01
1.558103482112338956e+00,-5.878391660512615147e+01,-6.609505902354233342e+01,-5.762265256554907467e+01,-6.618015643716023533e+01,-5.851933946169027223e+01
1.567103024412753287e+00,-5.878555195555337320e+01,-6.609548191300260100e+01,-5.756525818722450083e+01,-6.618155686950308336e+01,-5.859360447802223604e+01
1.576154547703228381e+00,-5.878720562567207253e+01,-6.609590965968061482e+01,-5.750821195480003212e+01,-6.618297329261834250e+01,-5.866970047912285224e+01
1.585258352223846812e+00,-5.878887781361309806e+01,-6.609634231887183375e+01,-5.745153682472868439e+01,-6.618440588641553290e+01,-5.874766655703002272e+01
1.594414739948866400e+00,-5.879056871949047292e+01,-6.609677994648974675e+01,-5.739525614214264948e+01,-6.618585483276716275e+01,-5.882754162197882408e+01
1.603624014596735536e+00,-5.879227854541770881e+01,-6.609722259907243824e+01,-5.733939365266244437e+01,-6.618732031552882233e+01,-5.890936422889523527e+01
1.612886481640168679e+00,-5.879400749552404193e+01,-6.609767033378933832e+01,-5.728397351485573097e+01,-6.618880252055924984e+01,-5.899317237641574962e+01
1.622202448316277135e+00,-5.879575577597083225e+01,-6.609812320844797284e+01,-5.722902031337304862e+01,-6.619030163574086600e+01,-5.907900327463765677e+01
1.631572223636762242e+00,-5.879752359496795577e+01,-6.609858128150079892e+01,-5.717455907277850713e+01,-6.619181785100022353e+01,-5.916689307732227832e+01
1.640996118398164061e+00,-5.879931116279023229e+01,-6.609904461205208293e+01,-5.712061527210568102e+01,-6.619335135832875494e+01,-5.925687657370001915e+01
1.650474445192170458e+00,-5.880111869179391704e+01,-6.609951325986492066e+01,-5.706721486016362377e+01,-6.619490235180370519e+01,-5.934898683441452505e+01
1.660007518415986594e+00,-5.880294639643327770e+01,-6.609998728536822910e+01,-5.701438427161613021e+01,-6.619647102760910684e+01,-5.944325480545795415e+01
1.669595654282763020e+00,-5.880479449327705765e+01,-6.610046674966383762e+01,-5.696215044387515292e+01,-6.619805758405721008e+01,-5.953970884316027679e+01
1.679239170832084627e+00,-5.880666320102514533e+01,-6.610095171453370710e+01,-5.691054083482994486e+01,-6.619966222160972791e+01,-5.963837418248967026e+01
1.688938387940519537e+00,-5.880855274052520798e+01,-6.610144224244712063e+01,-5.685958344144965082e+01,-6.620128514289956456e+01,-5.973927232998484982e+01
1.698693627332230616e+00,-5.881046333478926158e+01,-6.610193839656804471e+01,-5.680930681929859816e+01,-6.620292655275257232e+01,-5.984242037165198980e+01
1.708505212589645827e+00,-5.881239520901046092e+01,-6.610244024076240521e+01,-5.675974010299583483e+01,-6.620458665820949307e+01,-5.994783018512387684e+01
1.718373469164192313e+00,-5.881434859057974762e+01,-6.610294783960567599e+01,-5.671091302766691200e+01,-6.620626566854814143e+01,-6.005550754424903204e+01
1.728298724387091534e+00,-5.881632370910259766e+01,-6.610346125839029696e+01,-5.666285595142655040e+01,-6.620796379530571585e+01,-6.016545110316410216e+01
1.738281307480216586e+00,-5.881832079641575461e+01,-6.610398056313329107e+01,-5.661559987893922852e+01,-6.620968125230132273e+01,-6.027765124576239941e+01
1.748321549567012800e+00,-5.882034008660400559e+01,-6.610450582058392399e+01,-5.656917648610996707e+01,-6.621141825565862860e+01,-6.039208878538531167e+01
1.758419783683480730e+00,-5.882238181601692162e+01,-6.610503709823143481e+01,-5.652361814595710143e+01,-6.621317502382878217e+01,-6.050873349861291217e+01
1.768576344789223764e+00,-5.882444622328569750e+01,-6.610557446431288042e+01,-5.647895795571891853e+01,-6.621495177761346440e+01,-6.062754247629523263e+01
1.778791569778558346e+00,-5.882653354933986378e+01,-6.610611798782090887e+01,-5.643522976526214308e+01,-6.621674874018805212e+01,-6.074845827453664526e+01
1.789065797491687926e+00,-5.882864403742416215e+01,-6.610666773851188793e+01,-5.639246820684891759e+01,-6.621856613712515127e+01,-6.087140684849217109e+01
1.799399368725944637e+00,-5.883077793311525028e+01,-6.610722378691372114e+01,-5.635070872633672678e+01,-6.622040419641811582e+01,-6.099629525264164442e+01
1.809792626247090697e+00,-5.883293548433852038e+01,-6.610778620433410424e+01,-5.630998761587939327e+01,-6.622226314850489359e+01,-6.112300909308481778e+01
1.820245914800690201e+00,-5.883511694138491777e+01,-6.610835506286866803e+01,-5.627034204821170960e+01,-6.622414322629194317e+01,-6.125140972058165545e+01
1.830759581123543978e+00,-5.883732255692760305e+01,-6.610893043540913538e+01,-5.623181011259636364e+01,-6.622604466517842070e+01,-6.138133115808592777e+01
1.841333973955189274e+00,-5.883955258603877780e+01,-6.610951239565179094e+01,-5.619443085252846970e+01,-6.622796770308055159e+01,-6.151257676379239570e+01
1.851969444049469615e+00,-5.884180728620638945e+01,-6.611010101810575179e+01,-5.615824430528536482e+01,-6.622991258045610152e+01,-6.164491564097610876e+01
1.862666344186168166e+00,-5.884408691735082897e+01,-6.611069637810155086e+01,-5.612329154342960180e+01,-6.623187954032911762e+01,-6.177807881967589054e+01
1.873425029182709922e+00,-5.884639174184159316e+01,-6.611129855179963499e+01,-5.608961471837105961e+01,-6.623386882831481159e+01,-6.191175525344655739e+01
1.884245855905930966e+00,-5.884872202451396106e+01,-6.611190761619896250e+01,-5.605725710610425239e+01,-6.623588069264468459e+01,-6.204558769761266035e+01
1.895129183283915442e+00,-5.885107803268554250e+01,-6.611252364914578550e+01,-5.602626315524453560e+01,-6.623791538419170877e+01,-6.217916856439781981e+01
1.906075372317901362e+00,-5.885346003617291899e+01,-6.611314672934243220e+01,-5.599667853749815549e+01,-6.623997315649586426e+01,-6.231203588539542437e+01
1.917084786094255699e+00,-5.885586830730807151e+01,-6.611377693635607500e+01,-5.596855020070521647e+01,-6.624205426578973288e+01,-6.244366955317573797e+01
1.928157789796516974e+00,-5.885830312095494321e+01,-6.611441435062782546e+01,-5.594192642460649267e+01,-6.624415897102434769e+01,-6.257348806072837988e+01
1.939294750717509119e+00,-5.886076475452578904e+01,-6.611505905348163026e+01,-5.591685687949970429e+01,-6.624628753389515623e+01,-6.270084600836702293e+01
1.950496038271525290e+00,-5.886325348799753954e+01,-6.611571112713342302e+01,-5.589339268795274052e+01,-6.624844021886826795e+01,-6.282503269986348471e+01
