step,estimated_conductivity_s_per_m,loss_nae
7.100000000000000000e+01,6.055570244789123535e-01,8.767989347688853741e-04
7.200000000000000000e+01,6.065963506698608398e-01,8.328049443662166595e-04
7.300000000000000000e+01,6.104730367660522461e-01,6.683858809992671013e-04
7.400000000000000000e+01,6.169044375419616699e-01,3.938660956919193268e-04
7.500000000000000000e+01,6.256867051124572754e-01,1.571766188135370612e-05
7.600000000000000000e+01,6.366754174232482910e-01,4.626694135367870331e-04
7.700000000000000000e+01,6.433857679367065430e-01,7.576067000627517700e-04
7.800000000000000000e+01,6.461857557296752930e-01,8.812677115201950073e-04
7.900000000000000000e+01,6.454982757568359375e-01,8.509110775776207447e-04
8.000000000000000000e+01,6.417704820632934570e-01,6.864149472676217556e-04
8.100000000000000000e+01,6.354504227638244629e-01,4.090444417670369148e-04
8.200000000000000000e+01,6.269685029983520508e-01,3.975643630838021636e-05
8.300000000000000000e+01,6.167278289794921875e-01,4.014167352579534054e-04
8.400000000000000000e+01,6.103600859642028809e-01,6.731628091074526310e-04
8.500000000000000000e+01,6.072866916656494141e-01,8.036039653234183788e-04
8.600000000000000000e+01,6.070731878280639648e-01,8.126185275614261627e-04
8.700000000000000000e+01,6.093928217887878418e-01,7.142290123738348484e-04
8.800000000000000000e+01,6.139994263648986816e-01,5.180664593353867531e-04
8.900000000000000000e+01,6.207100152969360352e-01,2.304486552020534873e-04
9.000000000000000000e+01,6.293914318084716797e-01,1.449260889785364270e-04
9.100000000000000000e+01,6.345434188842773438e-01,3.693650360219180584e-04
9.200000000000000000e+01,6.364569664001464844e-01,4.530384903773665428e-04
9.300000000000000000e+01,6.354602575302124023e-01,4.094296600669622421e-04
9.400000000000000000e+01,6.319003701210021973e-01,2.540251589380204678e-04
9.500000000000000000e+01,6.261271834373474121e-01,3.313036586405360140e-06
9.600000000000000000e+01,6.184817552566528320e-01,3.262185200583189726e-04
9.700000000000000000e+01,6.141459345817565918e-01,5.118256085552275181e-04
9.800000000000000000e+01,6.126759648323059082e-01,5.745421512983739376e-04
9.900000000000000000e+01,6.137337684631347656e-01,5.294694565236568451e-04
1.000000000000000000e+02,6.170619726181030273e-01,3.870859509333968163e-04
1.010000000000000000e+02,6.224659681320190430e-01,1.548651925986632705e-04
1.020000000000000000e+02,6.298014521598815918e-01,1.627240271773189306e-04
1.030000000000000000e+02,6.339209079742431641e-01,3.421673318371176720e-04
1.040000000000000000e+02,6.350951194763183594e-01,3.934808773919939995e-04
1.050000000000000000e+02,6.336239576339721680e-01,3.292233741376549006e-04
1.060000000000000000e+02,6.298204660415649414e-01,1.635715452721342444e-04
1.070000000000000000e+02,6.239991188049316406e-01,8.868151053320616484e-05
1.080000000000000000e+02,6.211910247802734375e-01,2.097999677062034607e-04
1.090000000000000000e+02,6.210234165191650391e-01,2.169653598684817553e-04
1.100000000000000000e+02,6.232106089591979980e-01,1.227364409714937210e-04
1.110000000000000000e+02,6.275348663330078125e-01,6.433454836951568723e-05
1.120000000000000000e+02,6.290469169616699219e-01,1.299018476856872439e-04
1.130000000000000000e+02,6.280206441879272461e-01,8.536847599316388369e-05
1.140000000000000000e+02,6.247437596321105957e-01,5.655276254401542246e-05
