step,power_db,theta_deg,phi_deg
9.200000000000000000e+01,-9.528840860121411538e+01,9.035966491699218750e+01,-1.625683456659317017e-01
9.300000000000000000e+01,-9.528736629919362144e+01,9.036551666259765625e+01,-1.652102768421173096e-01
9.400000000000000000e+01,-9.528631854700364556e+01,9.037139892578125000e+01,-1.678673177957534790e-01
9.500000000000000000e+01,-9.528526494158590765e+01,9.037731170654296875e+01,-1.705394089221954346e-01
9.600000000000000000e+01,-9.528420630118723977e+01,9.038326263427734375e+01,-1.732265055179595947e-01
9.700000000000000000e+01,-9.528314100209715320e+01,9.038923645019531250e+01,-1.759285330772399902e-01
9.800000000000000000e+01,-9.528207108309348428e+01,9.039524841308593750e+01,-1.786454617977142334e-01
9.900000000000000000e+01,-9.528099573432926661e+01,9.040129089355468750e+01,-1.813772320747375488e-01
1.000000000000000000e+02,-9.527991536646356963e+01,9.040737152099609375e+01,-1.841237992048263550e-01
1.010000000000000000e+02,-9.527882876392850164e+01,9.041348266601562500e+01,-1.868851035833358765e-01
1.020000000000000000e+02,-9.527773755689976554e+01,9.041962432861328125e+01,-1.896611005067825317e-01
1.030000000000000000e+02,-9.527663971764118855e+01,9.042579650878906250e+01,-1.924517303705215454e-01
1.040000000000000000e+02,-9.527553809431208265e+01,9.043200683593750000e+01,-1.952569633722305298e-01
1.050000000000000000e+02,-9.527442944147568937e+01,9.043824768066406250e+01,-1.980767548084259033e-01
1.060000000000000000e+02,-9.527331620024918379e+01,9.044451904296875000e+01,-2.009110450744628906e-01
1.070000000000000000e+02,-9.527219878007232978e+01,9.045082092285156250e+01,-2.037597894668579102e-01
1.080000000000000000e+02,-9.527107434410078213e+01,9.045716094970703125e+01,-2.066229581832885742e-01
1.090000000000000000e+02,-9.526994573726008753e+01,9.046353149414062500e+01,-2.095005065202713013e-01
1.100000000000000000e+02,-9.526881296287682233e+01,9.046992492675781250e+01,-2.123923897743225098e-01
1.110000000000000000e+02,-9.526767278095152847e+01,9.047636413574218750e+01,-2.152985632419586182e-01
1.120000000000000000e+02,-9.526652925049432952e+01,9.048282623291015625e+01,-2.182189971208572388e-01
1.130000000000000000e+02,-9.526537953780751877e+01,9.048931884765625000e+01,-2.211536467075347900e-01
