phi,Ed_dB,Etot_dB
271.9753,-26.3507,-26.3507
272.1354,-26.4108,-26.4108
272.2954,-26.4707,-26.4707
272.4555,-26.5306,-26.5306
272.6156,-26.5904,-26.5904
272.7757,-26.6500,-26.6500
272.9358,-26.7097,-26.7097
273.0958,-26.7692,-26.7692
273.2559,-26.8286,-26.8286
273.4160,-26.8880,-26.8880
273.5761,-26.9473,-26.9473
273.7362,-27.0065,-27.0065
273.8962,-27.0657,-27.0657
274.0563,-27.1247,-27.1247
274.2164,-27.1837,-27.1837
274.3765,-27.2427,-27.2427
274.5366,-27.3016,-27.3016
274.6966,-27.3604,-27.3604
274.8567,-27.4191,-27.4191
275.0168,-27.4778,-27.4778
275.1769,-27.5365,-27.5365
275.3369,-27.5951,-27.5951
275.4970,-27.6536,-27.6536
275.6571,-27.7121,-27.7121
275.8172,-27.7705,-27.7705
275.9773,-27.8289,-27.8289
276.1373,-27.8872,-27.8872
276.2974,-27.9455,-27.9455
276.4575,-28.0038,-28.0038
276.6176,-28.0620,-28.0620
276.7777,-28.1202,-28.1202
276.9377,-28.1783,-28.1783
277.0978,-28.2364,-28.2364
277.2579,-28.2945,-28.2945
277.4180,-28.3525,-28.3525
277.5781,-28.4106,-28.4106
277.7381,-28.4685,-28.4685
277.8982,-28.5265,-28.5265
278.0583,-28.5844,-28.5844
278.2184,-28.6424,-28.6424
278.3784,-28.7003,-28.7003
278.5385,-28.7581,-28.7581
278.6986,-28.8160,-28.8160
278.8587,-28.8739,-28.8739
279.0188,-28.9317,-28.9317
279.1788,-28.9895,-28.9895
279.3389,-29.0473,-29.0473
279.4990,-29.1051,-29.1051
279.6591,-29.1629,-29.1629
279.8192,-29.2208,-29.2208
279.9792,-29.2786,-29.2786
280.1393,-29.3364,-29.3364
280.2994,-29.3942,-29.3942
280.4595,-29.4520,-29.4520
280.6196,-29.5098,-29.5098
280.7796,-29.5676,-29.5676
280.9397,-29.6254,-29.6254
281.0998,-29.6833,-29.6833
281.2599,-29.7411,-29.7411
281.4200,-29.7990,-29.7990
281.5800,-29.8569,-29.8569
281.7401,-29.9148,-29.9148
281.9002,-29.9728,-29.9728
282.0603,-30.0307,-30.0307
282.2203,-30.0887,-30.0887
282.3804,-30.1467,-30.1467
282.5405,-30.2048,-30.2048
282.7006,-30.2628,-30.2628
282.8607,-30.3209,-30.3209
283.0207,-30.3791,-30.3791
283.1808,-30.4373,-30.4373
283.3409,-30.4955,-30.4955
283.5010,-30.5537,-30.5537
283.6611,-30.6120,-30.6120
283.8211,-30.6704,-30.6704
283.9812,-30.7288,-30.7288
284.1413,-30.7872,-30.7872
284.3014,-30.8457,-30.8457
284.4615,-30.9043,-30.9043
284.6215,-30.9629,-30.9629
284.7816,-31.0215,-31.0215
284.9417,-31.0803,-31.0803
285.1018,-31.1391,-31.1391
285.2618,-31.1979,-31.1979
285.4219,-31.2568,-31.2568
285.5820,-31.3158,-31.3158
285.7421,-31.3749,-31.3749
285.9022,-31.4340,-31.4340
286.0622,-31.4932,-31.4932
286.2223,-31.5525,-31.5525
286.3824,-31.6119,-31.6119
286.5425,-31.6714,-31.6714
286.7026,-31.7309,-31.7309
286.8626,-31.7905,-31.7905
287.0227,-31.8503,-31.8503
287.1828,-31.9101,-31.9101
287.3429,-31.9700,-31.9700
287.5030,-32.0300,-32.0300
287.6630,-32.0901,-32.0901
287.8231,-32.1503,-32.1503
287.9832,-32.2106,-32.2106
288.1433,-32.2710,-32.2710
288.3034,-32.3316,-32.3316
288.4634,-32.3922,-32.3922
288.6235,-32.4530,-32.4530
288.7836,-32.5139,-32.5139
288.9437,-32.5749,-32.5749
289.1037,-32.6360,-32.6360
289.2638,-32.6972,-32.6972
289.4239,-32.7586,-32.7586
289.5840,-32.8201,-32.8201
289.7441,-32.8818,-32.8818
289.9041,-32.9436,-32.9436
290.0642,-33.0055,-33.0055
290.2243,-33.0676,-33.0676
290.3844,-33.1298,-33.1298
290.5445,-33.1922,-33.1922
290.7045,-33.2547,-33.2547
290.8646,-33.3174,-33.3174
291.0247,-33.3803,-33.3803
291.1848,-33.4433,-33.4433
291.3449,-33.5065,-33.5065
291.5049,-33.5698,-33.5698
291.6650,-33.6333,-33.6333
291.8251,-33.6970,-33.6970
291.9852,-33.7609,-33.7609
292.1452,-33.8250,-33.8250
292.3053,-33.8892,-33.8892
292.4654,-33.9537,-33.9537
292.6255,-34.0183,-34.0183
292.7856,-34.0832,-34.0832
292.9456,-34.1482,-34.1482
293.1057,-34.2134,-34.2134
293.2658,-34.2789,-34.2789
293.4259,-34.3446,-34.3446
293.5860,-34.4105,-34.4105
293.7460,-34.4766,-34.4766
293.9061,-34.5429,-34.5429
294.0662,-34.6095,-34.6095
294.2263,-34.6763,-34.6763
294.3864,-34.7434,-34.7434
294.5464,-34.8107,-34.8107
294.7065,-34.8782,-34.8782
294.8666,-34.9460,-34.9460
295.0267,-35.0141,-35.0141
295.1867,-35.0824,-35.0824
295.3468,-35.1510,-35.1510
295.5069,-35.2199,-35.2199
295.6670,-35.2890,-35.2890
295.8271,-35.3584,-35.3584
295.9871,-35.4281,-35.4281
296.1472,-35.4982,-35.4982
296.3073,-35.5685,-35.5685
296.4674,-35.6391,-35.6391
296.6275,-35.7100,-35.7100
296.7875,-35.7813,-35.7813
296.9476,-35.8528,-35.8528
297.1077,-35.9247,-35.9247
297.2678,-35.9969,-35.9969
297.4279,-36.0695,-36.0695
297.5879,-36.1424,-36.1424
297.7480,-36.2157,-36.2157
297.9081,-36.2893,-36.2893
298.0682,-36.3633,-36.3633
298.2283,-36.4377,-36.4377
298.3883,-36.5125,-36.5125
298.5484,-36.5876,-36.5876
298.7085,-36.6632,-36.6632
298.8686,-36.7391,-36.7391
299.0286,-36.8155,-36.8155
299.1887,-36.8922,-36.8922
299.3488,-36.9694,-36.9694
299.5089,-37.0471,-37.0471
299.6690,-37.1251,-37.1251
299.8290,-37.2037,-37.2037
299.9891,-37.2827,-37.2827
300.1492,-37.3621,-37.3621
300.3093,-37.4421,-37.4421
300.4694,-37.5225,-37.5225
300.6294,-37.6034,-37.6034
300.7895,-37.6849,-37.6849
300.9496,-37.7668,-37.7668
301.1097,-37.8493,-37.8493
301.2698,-37.9323,-37.9323
301.4298,-38.0159,-38.0159
301.5899,-38.1001,-38.1001
301.7500,-38.1848,-38.1848
301.9101,-38.2701,-38.2701
302.0701,-38.3559,-38.3559
302.2302,-38.4424,-38.4424
302.3903,-38.5296,-38.5296
302.5504,-38.6173,-38.6173
302.7105,-38.7057,-38.7057
302.8705,-38.7948,-38.7948
303.0306,-38.8845,-38.8845
303.1907,-38.9750,-38.9750
303.3508,-39.0661,-39.0661
303.5109,-39.1580,-39.1580
303.6709,-39.2506,-39.2506
303.8310,-39.3439,-39.3439
303.9911,-39.4380,-39.4380
304.1512,-39.5329,-39.5329
304.3113,-39.6286,-39.6286
304.4713,-39.7252,-39.7252
304.6314,-39.8225,-39.8225
304.7915,-39.9208,-39.9208
304.9516,-40.0199,-40.0199
305.1116,-40.1199,-40.1199
305.2717,-40.2209,-40.2209
305.4318,-40.3228,-40.3228
305.5919,-40.4256,-40.4256
305.7520,-40.5295,-40.5295
305.9120,-40.6343,-40.6343
306.0721,-40.7403,-40.7403
306.2322,-40.8472,-40.8472
306.3923,-40.9553,-40.9553
306.5524,-41.0645,-41.0645
306.7124,-41.1748,-41.1748
306.8725,-41.2864,-41.2864
307.0326,-41.3991,-41.3991
307.1927,-41.5131,-41.5131
307.3528,-41.6284,-41.6284
307.5128,-41.7450,-41.7450
307.6729,-41.8629,-41.8629
307.8330,-41.9822,-41.9822
307.9931,-42.1029,-42.1029
308.1532,-42.2251,-42.2251
308.3132,-42.3489,-42.3489
308.4733,-42.4741,-42.4741
308.6334,-42.6010,-42.6010
308.7935,-42.7295,-42.7295
308.9535,-42.8597,-42.8597
309.1136,-42.9916,-42.9916
309.2737,-43.1254,-43.1254
309.4338,-43.2610,-43.2610
309.5939,-43.3985,-43.3985
309.7539,-43.5380,-43.5380
309.9140,-43.6796,-43.6796
310.0741,-43.8232,-43.8232
310.2342,-43.9691,-43.9691
310.3943,-44.1172,-44.1172
310.5543,-44.2676,-44.2676
310.7144,-44.4205,-44.4205
310.8745,-44.5758,-44.5758
311.0346,-44.7338,-44.7338
311.1947,-44.8944,-44.8944
311.3547,-45.0579,-45.0579
311.5148,-45.2242,-45.2242
311.6749,-45.3936,-45.3936
311.8350,-45.5661,-45.5661
311.9950,-45.7418,-45.7418
312.1551,-45.9210,-45.9210
312.3152,-46.1037,-46.1037
312.4753,-46.2901,-46.2901
312.6354,-46.4803,-46.4803
312.7954,-46.6746,-46.6746
312.9555,-46.8731,-46.8731
313.1156,-47.0760,-47.0760
313.2757,-47.2835,-47.2835
313.4358,-47.4959,-47.4959
313.5958,-47.7134,-47.7134
313.7559,-47.9362,-47.9362
313.9160,-48.1646,-48.1646
314.0761,-48.3990,-48.3990
314.2362,-48.6397,-48.6397
314.3962,-48.8870,-48.8870
314.5563,-49.1413,-49.1413
314.7164,-49.4030,-49.4030
314.8765,-49.6727,-49.6727
315.0365,-49.9507,-49.9507
315.1966,-50.2378,-50.2378
315.3567,-50.5344,-50.5344
315.5168,-50.8412,-50.8412
315.6769,-51.1591,-51.1591
315.8369,-51.4888,-51.4888
315.9970,-51.8313,-51.8313
316.1571,-52.1876,-52.1876
316.3172,-52.5589,-52.5589
316.4773,-52.9465,-52.9465
316.6373,-53.3521,-53.3521
316.7974,-53.7773,-53.7773
316.9575,-54.2241,-54.2241
317.1176,-54.6949,-54.6949
317.2777,-55.1925,-55.1925
317.4377,-55.7201,-55.7201
317.5978,-56.2816,-56.2816
317.7579,-56.8817,-56.8817
317.9180,-57.5261,-57.5261
318.0781,-58.2220,-58.2220
318.2381,-58.9782,-58.9782
318.3982,-59.8063,-59.8063
318.5583,-60.7216,-60.7216
318.7184,-61.7445,-61.7445
318.8784,-62.9039,-62.9039
319.0385,-64.2420,-64.2420
319.1986,-65.8243,-65.8243
319.3587,-67.7601,-67.7601
319.5188,-70.2546,-70.2546
319.6788,-73.7676,-73.7676
319.8389,-79.7613,-79.7613
319.9990,-123.9021,-123.9021
