phi,Ed_dB,Etot_dB
45.7836,-37.0839,2.9449
45.9437,-37.0414,1.9776
46.1038,-36.9989,0.7931
46.2638,-36.9564,-0.6764
46.4239,-36.9140,-2.5463
46.5840,-36.8716,-5.0373
46.7441,-36.8293,-8.6578
46.9042,-36.7870,-15.1198
47.0642,-36.7448,-32.1697
47.2243,-36.7027,-13.3501
47.3844,-36.6605,-7.8190
47.5445,-36.6184,-4.5293
47.7046,-36.5764,-2.2174
47.8646,-36.5344,-0.4645
48.0247,-36.4925,0.9205
48.1848,-36.4505,2.0408
48.3449,-36.4087,2.9585
48.5049,-36.3668,3.7134
48.6650,-36.3250,4.3326
48.8251,-36.2833,4.8351
48.9852,-36.2416,5.2344
49.1453,-36.1999,5.5405
49.3053,-36.1582,5.7606
49.4654,-36.1166,5.8995
49.6255,-36.0750,5.9607
49.7856,-36.0335,5.9460
49.9457,-35.9920,5.8558
50.1057,-35.9505,5.6894
50.2658,-35.9090,5.4445
50.4259,-35.8676,5.1174
50.5860,-35.8262,4.7023
50.7461,-35.7849,4.1914
50.9061,-35.7435,3.5734
51.0662,-35.7022,2.8328
51.2263,-35.6610,1.9478
51.3864,-35.6197,0.8865
51.5465,-35.5785,-0.3991
51.7065,-35.5373,-1.9859
51.8666,-35.4961,-4.0079
52.0267,-35.4549,-6.7303
52.1868,-35.4138,-10.8062
52.3468,-35.3727,-18.8410
52.5069,-35.3316,-24.1547
52.6670,-35.2905,-12.5934
52.8271,-35.2495,-7.8400
52.9872,-35.2085,-4.8400
53.1472,-35.1674,-2.6719
53.3073,-35.1265,-0.9973
53.4674,-35.0855,0.3465
53.6275,-35.0445,1.4500
53.7876,-35.0036,2.3688
53.9476,-34.9626,3.1393
54.1077,-34.9217,3.7869
54.2678,-34.8808,4.3294
54.4279,-34.8400,4.7801
54.5880,-34.7991,5.1489
54.7480,-34.7582,5.4431
54.9081,-34.7174,5.6684
55.0682,-34.6765,5.8291
55.2283,-34.6357,5.9282
55.3883,-34.5949,5.9678
55.5484,-34.5541,5.9492
55.7085,-34.5133,5.8728
55.8686,-34.4725,5.7384
56.0287,-34.4317,5.5449
56.1887,-34.3909,5.2902
56.3488,-34.3501,4.9716
56.5089,-34.3094,4.5848
56.6690,-34.2686,4.1243
56.8291,-34.2278,3.5828
56.9891,-34.1871,2.9504
57.1492,-34.1463,2.2136
57.3093,-34.1056,1.3543
57.4694,-34.0648,0.3465
57.6295,-34.0241,-0.8474
57.7895,-33.9833,-2.2855
57.9496,-33.9426,-4.0630
58.1097,-33.9018,-6.3535
58.2698,-33.8611,-9.5261
58.4298,-33.8203,-14.6241
58.5899,-33.7796,-28.1384
58.7500,-33.7388,-18.9290
58.9101,-33.6981,-11.7151
59.0702,-33.6573,-7.8668
59.2302,-33.6165,-5.2542
59.3903,-33.5757,-3.2944
59.5504,-33.5350,-1.7424
59.7105,-33.4942,-0.4718
59.8706,-33.4534,0.5909
60.0306,-33.4126,1.4925
60.1907,-33.3717,2.2644
60.3508,-33.3309,2.9289
60.5109,-33.2901,3.5022
60.6710,-33.2492,3.9964
60.8310,-33.2084,4.4207
60.9911,-33.1675,4.7826
61.1512,-33.1266,5.0877
61.3113,-33.0857,5.3406
61.4714,-33.0448,5.5449
61.6314,-33.0039,5.7035
61.7915,-32.9630,5.8188
61.9516,-32.9220,5.8926
62.1117,-32.8811,5.9262
62.2717,-32.8401,5.9205
62.4318,-32.7991,5.8762
62.5919,-32.7581,5.7936
62.7520,-32.7171,5.6725
62.9121,-32.6760,5.5126
63.0721,-32.6349,5.3130
63.2322,-32.5939,5.0726
63.3923,-32.5527,4.7898
63.5524,-32.5116,4.4623
63.7125,-32.4705,4.0874
63.8725,-32.4293,3.6616
64.0326,-32.3881,3.1804
64.1927,-32.3469,2.6382
64.3528,-32.3056,2.0276
64.5129,-32.2644,1.3393
64.6729,-32.2231,0.5609
64.8330,-32.1818,-0.3244
64.9931,-32.1404,-1.3395
65.1532,-32.0991,-2.5173
65.3132,-32.0577,-3.9073
65.4733,-32.0162,-5.5882
65.6334,-31.9748,-7.6971
65.7935,-31.9333,-10.5051
65.9536,-31.8918,-14.6787
66.1136,-31.8502,-22.7639
66.2737,-31.8087,-25.7905
66.4338,-31.7671,-15.9123
66.5939,-31.7254,-11.3371
66.7540,-31.6838,-8.3814
66.9140,-31.6421,-6.2110
67.0741,-31.6003,-4.5070
67.2342,-31.5586,-3.1134
67.3943,-31.5167,-1.9425
67.5544,-31.4749,-0.9397
67.7144,-31.4330,-0.0691
67.8745,-31.3911,0.6945
68.0346,-31.3492,1.3694
68.1947,-31.3072,1.9690
68.3547,-31.2651,2.5040
68.5148,-31.2231,2.9825
68.6749,-31.1810,3.4110
68.8350,-31.1388,3.7949
68.9951,-31.0966,4.1384
69.1551,-31.0544,4.4453
69.3152,-31.0121,4.7185
69.4753,-30.9698,4.9605
69.6354,-30.9275,5.1737
69.7955,-30.8851,5.3597
69.9555,-30.8426,5.5203
70.1156,-30.8001,5.6567
70.2757,-30.7576,5.7702
70.4358,-30.7150,5.8618
70.5959,-30.6723,5.9322
70.7559,-30.6297,5.9823
70.9160,-30.5869,6.0128
71.0761,-30.5441,6.0240
71.2362,-30.5013,6.0165
71.3963,-30.4584,5.9905
71.5563,-30.4155,5.9464
71.7164,-30.3725,5.8843
71.8765,-30.3295,5.8044
72.0366,-30.2864,5.7067
72.1966,-30.2432,5.5910
72.3567,-30.2000,5.4574
72.5168,-30.1568,5.3056
72.6769,-30.1135,5.1354
72.8370,-30.0701,4.9463
72.9970,-30.0267,4.7379
73.1571,-29.9832,4.5097
73.3172,-29.9396,4.2609
73.4773,-29.8960,3.9909
73.6374,-29.8524,3.6985
73.7974,-29.8087,3.3828
73.9575,-29.7649,3.0424
74.1176,-29.7210,2.6757
74.2777,-29.6771,2.2811
74.4378,-29.6331,1.8562
74.5978,-29.5891,1.3988
74.7579,-29.5450,0.9056
74.9180,-29.5008,0.3731
75.0781,-29.4566,-0.2031
75.2381,-29.4123,-0.8283
75.3982,-29.3679,-1.5092
75.5583,-29.3235,-2.2543
75.7184,-29.2790,-3.0743
75.8785,-29.2344,-3.9833
76.0385,-29.1897,-5.0006
76.1986,-29.1450,-6.1525
76.3587,-29.1002,-7.4774
76.5188,-29.0553,-9.0337
76.6789,-29.0104,-10.9166
76.8389,-28.9653,-13.2970
76.9990,-28.9203,-16.5280
77.1591,-28.8751,-21.5183
77.3192,-28.8298,-30.2977
77.4793,-28.7845,-24.4920
77.6393,-28.7391,-18.3783
77.7994,-28.6936,-14.7593
77.9595,-28.6480,-12.2336
78.1196,-28.6024,-10.3085
78.2797,-28.5566,-8.7625
78.4397,-28.5108,-7.4775
78.5998,-28.4649,-6.3836
78.7599,-28.4189,-5.4356
78.9200,-28.3729,-4.6031
79.0800,-28.3267,-3.8642
79.2401,-28.2804,-3.2028
79.4002,-28.2341,-2.6067
79.5603,-28.1877,-2.0664
79.7204,-28.1412,-1.5744
79.8804,-28.0946,-1.1245
80.0405,-28.0479,-0.7117
80.2006,-28.0011,-0.3318
80.3607,-27.9542,0.0187
80.5208,-27.9072,0.3430
80.6808,-27.8601,0.6436
80.8409,-27.8129,0.9228
81.0010,-27.7657,1.1826
81.1611,-27.7183,1.4249
81.3212,-27.6708,1.6512
81.4812,-27.6232,1.8629
81.6413,-27.5756,2.0613
81.8014,-27.5278,2.2477
81.9615,-27.4799,2.4230
82.1215,-27.4319,2.5884
82.2816,-27.3838,2.7446
82.4417,-27.3356,2.8925
82.6018,-27.2873,3.0328
82.7619,-27.2389,3.1662
82.9219,-27.1904,3.2935
83.0820,-27.1417,3.4150
83.2421,-27.0930,3.5315
83.4022,-27.0441,3.6432
83.5623,-26.9951,3.7508
83.7223,-26.9460,3.8545
83.8824,-26.8968,3.9546
84.0425,-26.8475,4.0515
84.2026,-26.7980,4.1455
84.3627,-26.7485,4.2367
84.5227,-26.6988,4.3253
84.6828,-26.6490,4.4114
84.8429,-26.5990,4.4952
85.0030,-26.5489,4.5767
85.1630,-26.4988,4.6560
85.3231,-26.4484,4.7331
85.4832,-26.3980,4.8080
85.6433,-26.3474,4.8807
85.8034,-26.2967,4.9511
85.9634,-26.2459,5.0191
86.1235,-26.1949,5.0848
86.2836,-26.1438,5.1481
86.4437,-26.0925,5.2087
86.6038,-26.0411,5.2667
86.7638,-25.9896,5.3220
86.9239,-25.9380,5.3744
87.0840,-25.8861,5.4238
87.2441,-25.8342,5.4702
87.4042,-25.7821,5.5134
87.5642,-25.7299,5.5534
87.7243,-25.6775,5.5901
87.8844,-25.6249,5.6234
88.0445,-25.5722,5.6532
88.2046,-25.5194,5.6795
88.3646,-25.4664,5.7021
88.5247,-25.4132,5.7212
88.6848,-25.3599,5.7366
88.8449,-25.3065,5.7483
89.0049,-25.2528,5.7563
89.1650,-25.1990,5.7607
89.3251,-25.1451,5.7614
89.4852,-25.0910,5.7585
89.6453,-25.0367,5.7520
89.8053,-24.9822,5.7420
89.9654,-24.9276,5.7286
90.1255,-24.8728,5.7119
90.2856,-24.8178,5.6920
90.4457,-24.7627,5.6690
90.6057,-24.7073,5.6430
