step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
6.300000000000000000e+01,8.571636199951171875e+00,-2.304113388061523438e+00,1.500000000000000000e+00,2.052948713302612305e+00,-9.528734837981440364e+01,-9.545272361794536664e+01
6.400000000000000000e+01,8.608917236328125000e+00,-2.286126136779785156e+00,1.500000000000000000e+00,2.000416040420532227e+00,-9.529194753273682750e+01,-9.545272361794536664e+01
6.500000000000000000e+01,8.643995285034179688e+00,-2.265468835830688477e+00,1.500000000000000000e+00,1.948268771171569824e+00,-9.529625568313247186e+01,-9.545272361794536664e+01
6.600000000000000000e+01,8.676987648010253906e+00,-2.242334365844726562e+00,1.500000000000000000e+00,1.896145224571228027e+00,-9.530029156615746899e+01,-9.545272361794536664e+01
6.700000000000000000e+01,8.708011627197265625e+00,-2.216914653778076172e+00,1.500000000000000000e+00,1.843820571899414062e+00,-9.530406341244744794e+01,-9.545272361794536664e+01
6.800000000000000000e+01,8.737183570861816406e+00,-2.189399003982543945e+00,1.500000000000000000e+00,1.791130781173706055e+00,-9.530759671655479792e+01,-9.545272361794536664e+01
6.900000000000000000e+01,8.764617919921875000e+00,-2.159973621368408203e+00,1.500000000000000000e+00,1.738034844398498535e+00,-9.531089826372088680e+01,-9.545272361794536664e+01
7.000000000000000000e+01,8.790429115295410156e+00,-2.128821372985839844e+00,1.500000000000000000e+00,1.684544682502746582e+00,-9.531398760126215564e+01,-9.545272361794536664e+01
7.100000000000000000e+01,8.814726829528808594e+00,-2.096120834350585938e+00,1.500000000000000000e+00,1.630764722824096680e+00,-9.531687698538274844e+01,-9.545272361794536664e+01
7.200000000000000000e+01,8.837621688842773438e+00,-2.062045574188232422e+00,1.500000000000000000e+00,1.576761841773986816e+00,-9.531958037550396057e+01,-9.545272361794536664e+01
7.300000000000000000e+01,8.859218597412109375e+00,-2.026764154434204102e+00,1.500000000000000000e+00,1.522719740867614746e+00,-9.532211261254381895e+01,-9.545272361794536664e+01
7.400000000000000000e+01,8.879620552062988281e+00,-1.990439414978027344e+00,1.500000000000000000e+00,1.468805313110351562e+00,-9.532448284335657718e+01,-9.545272361794536664e+01
7.500000000000000000e+01,8.898927688598632812e+00,-1.953228235244750977e+00,1.500000000000000000e+00,1.415176868438720703e+00,-9.532671340484202460e+01,-9.545272361794536664e+01
7.600000000000000000e+01,8.917235374450683594e+00,-1.915281176567077637e+00,1.500000000000000000e+00,1.362030625343322754e+00,-9.532880819268476102e+01,-9.545272361794536664e+01
7.700000000000000000e+01,8.934636116027832031e+00,-1.876741886138916016e+00,1.500000000000000000e+00,1.309540033340454102e+00,-9.533078387516268037e+01,-9.545272361794536664e+01
