phi,Ds_dB,Dh_dB
214.6143,-20.1192,-25.3118
214.9346,-20.0159,-25.1099
215.2549,-19.9104,-24.9064
215.5752,-19.8024,-24.7014
215.8955,-19.6921,-24.4948
216.2159,-19.5793,-24.2864
216.5362,-19.4638,-24.0762
216.8565,-19.3457,-23.8640
217.1768,-19.2248,-23.6497
217.4971,-19.1011,-23.4333
217.8175,-18.9744,-23.2146
218.1378,-18.8447,-22.9935
218.4581,-18.7117,-22.7699
218.7784,-18.5754,-22.5436
219.0987,-18.4357,-22.3144
219.4190,-18.2925,-22.0823
219.7394,-18.1455,-21.8471
220.0597,-17.9946,-21.6086
220.3800,-17.8397,-21.3666
220.7003,-17.6806,-21.1210
221.0206,-17.5171,-20.8715
221.3410,-17.3489,-20.6179
221.6613,-17.1760,-20.3601
221.9816,-16.9980,-20.0977
222.3019,-16.8147,-19.8305
222.6222,-16.6259,-19.5582
222.9425,-16.4311,-19.2806
223.2629,-16.2303,-18.9973
223.5832,-16.0229,-18.7079
223.9035,-15.8086,-18.4121
224.2238,-15.5871,-18.1095
224.5441,-15.3578,-17.7996
224.8645,-15.1204,-17.4819
225.1848,-14.8742,-17.1560
225.5051,-14.6188,-16.8212
225.8254,-14.3535,-16.4768
226.1457,-14.0775,-16.1223
226.4661,-13.7902,-15.7567
226.7864,-13.4905,-15.3792
227.1067,-13.1777,-14.9889
227.4270,-12.8505,-14.5846
227.7473,-12.5077,-14.1650
228.0676,-12.1479,-13.7289
228.3880,-11.7696,-13.2745
228.7083,-11.3708,-12.8000
229.0286,-10.9495,-12.3032
229.3489,-10.5031,-11.7818
229.6692,-10.0288,-11.2327
229.9896,-9.5230,-10.6524
230.3099,-8.9816,-10.0369
230.6302,-8.3997,-9.3811
230.9505,-7.7709,-8.6787
231.2708,-7.0876,-7.9221
231.5911,-6.3399,-7.1015
231.9115,-5.5153,-6.2040
232.2318,-4.5967,-5.2129
232.5521,-3.5610,-4.1050
232.8724,-2.3752,-2.8473
233.1927,-0.9904,-1.3907
233.5131,0.6717,0.3429
233.8334,2.7466,2.4890
234.1537,5.5022,5.3156
234.4740,9.6008,9.4850
234.7943,17.7244,17.6792
235.1146,22.7683,22.7935
235.4350,11.1539,11.2492
235.7553,6.3283,6.4936
236.0756,3.2250,3.4600
236.3959,0.9284,1.2329
236.7162,-0.8985,-0.5246
237.0366,-2.4173,-1.9743
237.3569,-3.7187,-3.2066
237.6772,-4.8581,-4.2772
237.9975,-5.8722,-5.2228
238.3178,-6.7867,-6.0687
238.6381,-7.6198,-6.8336
238.9585,-8.3853,-7.5310
239.2788,-9.0938,-8.1715
239.5991,-9.7536,-8.7633
239.9194,-10.3711,-9.3132
240.2397,-10.9517,-9.8262
240.5601,-11.4998,-10.3069
240.8804,-12.0191,-10.7589
241.2007,-12.5126,-11.1853
241.5210,-12.9829,-11.5886
241.8413,-13.4323,-11.9711
242.1616,-13.8626,-12.3346
242.4820,-14.2756,-12.6810
242.8023,-14.6727,-13.0115
243.1226,-15.0551,-13.3275
243.4429,-15.4241,-13.6301
243.7632,-15.7806,-13.9204
244.0836,-16.1256,-14.1992
244.4039,-16.4598,-14.4673
244.7242,-16.7839,-14.7255
245.0445,-17.0987,-14.9744
245.3648,-17.4047,-15.2146
245.6852,-17.7024,-15.4465
246.0055,-17.9923,-15.6708
246.3258,-18.2750,-15.8879
246.6461,-18.5508,-16.0981
246.9664,-18.8200,-16.3019
247.2867,-19.0831,-16.4996
247.6071,-19.3403,-16.6915
