step,power_db,alpha_deg,beta_deg,gamma_deg
1.710000000000000000e+02,-9.170106780179123973e+01,1.233852672157809138e-04,2.965961098670959473e-01,4.023616313934326172e-01
1.720000000000000000e+02,-9.170105282151342863e+01,1.264409802388399839e-04,2.991837561130523682e-01,4.052817523479461670e-01
1.730000000000000000e+02,-9.170103784128730240e+01,1.295517431572079659e-04,3.017789125442504883e-01,4.082015156745910645e-01
1.740000000000000000e+02,-9.170102357445331620e+01,1.327181525994092226e-04,3.043816387653350830e-01,4.111208915710449219e-01
1.750000000000000000e+02,-9.170100895099713512e+01,1.359407906420528889e-04,3.069917857646942139e-01,4.140397906303405762e-01
1.760000000000000000e+02,-9.170099397092232607e+01,1.392202248098328710e-04,3.096094429492950439e-01,4.169582128524780273e-01
1.770000000000000000e+02,-9.170097827756606534e+01,1.425571390427649021e-04,3.122345507144927979e-01,4.198760092258453369e-01
1.780000000000000000e+02,-9.170096365426239515e+01,1.459521008655428886e-04,3.148670792579650879e-01,4.227931797504425049e-01
1.790000000000000000e+02,-9.170094903100795136e+01,1.494056632509455085e-04,3.175070285797119141e-01,4.257096052169799805e-01
1.800000000000000000e+02,-9.170093476446572822e+01,1.529183500679209828e-04,3.201543390750885010e-01,4.286252558231353760e-01
1.810000000000000000e+02,-9.170092014130855773e+01,1.564908598084002733e-04,3.228090107440948486e-01,4.315400719642639160e-01
1.820000000000000000e+02,-9.170090551820064206e+01,1.601237454451620579e-04,3.254710435867309570e-01,4.344539940357208252e-01
1.830000000000000000e+02,-9.170089089514195280e+01,1.638176618143916130e-04,3.281403779983520508e-01,4.373669326305389404e-01
1.840000000000000000e+02,-9.170087591547435579e+01,1.675730600254610181e-04,3.308170139789581299e-01,4.402788281440734863e-01
1.850000000000000000e+02,-9.170086129251535567e+01,1.713906240183860064e-04,3.335009515285491943e-01,4.431896507740020752e-01
1.860000000000000000e+02,-9.170084559963851234e+01,1.752710377331823111e-04,3.361921012401580811e-01,4.460993409156799316e-01
1.870000000000000000e+02,-9.170083169009052426e+01,1.792148686945438385e-04,3.388905227184295654e-01,4.490078091621398926e-01
1.880000000000000000e+02,-9.170081635397387743e+01,1.832226844271644950e-04,3.415961265563964844e-01,4.519150257110595703e-01
1.890000000000000000e+02,-9.170080280117167604e+01,1.872950524557381868e-04,3.443089425563812256e-01,4.548208713531494141e-01
1.900000000000000000e+02,-9.170078746515704893e+01,1.914327294798567891e-04,3.470289111137390137e-01,4.577254354953765869e-01
1.910000000000000000e+02,-9.170077319914553016e+01,1.956362830242142081e-04,3.497560620307922363e-01,4.606285095214843750e-01
1.920000000000000000e+02,-9.170075821988389464e+01,1.999061641981825233e-04,3.524903357028961182e-01,4.635301232337951660e-01
1.930000000000000000e+02,-9.170074324067391558e+01,2.042431151494383812e-04,3.552317023277282715e-01,4.664301872253417969e-01
1.940000000000000000e+02,-9.170072861816160525e+01,2.086477616103366017e-04,3.579801917076110840e-01,4.693286418914794922e-01
1.950000000000000000e+02,-9.170071506563320440e+01,2.131205401383340359e-04,3.607357442378997803e-01,4.722254276275634766e-01
1.960000000000000000e+02,-9.170069972992837393e+01,2.176621346734464169e-04,3.634983599185943604e-01,4.751205146312713623e-01
1.970000000000000000e+02,-9.170068582084758191e+01,2.222733164671808481e-04,3.662679791450500488e-01,4.780138432979583740e-01
1.980000000000000000e+02,-9.170067119852861026e+01,2.269545366289094090e-04,3.690446615219116211e-01,4.809053838253021240e-01
1.990000000000000000e+02,-9.170065550633864859e+01,2.317063917871564627e-04,3.718282878398895264e-01,4.837950766086578369e-01
2.000000000000000000e+02,-9.170064088412175352e+01,2.365295222261920571e-04,3.746189177036285400e-01,4.866828620433807373e-01
2.010000000000000000e+02,-9.170062768850485213e+01,2.414245682302862406e-04,3.774164915084838867e-01,4.895686805248260498e-01
2.020000000000000000e+02,-9.170061199647209094e+01,2.463922719471156597e-04,3.802210092544555664e-01,4.924524426460266113e-01
2.030000000000000000e+02,-9.170059701776644090e+01,2.514330262783914804e-04,3.830324113368988037e-01,4.953342080116271973e-01
2.040000000000000000e+02,-9.170058275238051237e+01,2.565474424045532942e-04,3.858507573604583740e-01,4.982138276100158691e-01
2.050000000000000000e+02,-9.170056813040856980e+01,2.617361897137016058e-04,3.886759579181671143e-01,5.010913014411926270e-01
2.060000000000000000e+02,-9.170055386511751294e+01,2.669997920747846365e-04,3.915080130100250244e-01,5.039666295051574707e-01
2.070000000000000000e+02,-9.170053959987335190e+01,2.723389479797333479e-04,3.943469226360321045e-01,5.068396329879760742e-01
2.080000000000000000e+02,-9.170052462141738658e+01,2.777542104013264179e-04,3.971926569938659668e-01,5.097104310989379883e-01
2.090000000000000000e+02,-9.170050964301307772e+01,2.832461614161729813e-04,4.000451862812042236e-01,5.125788450241088867e-01
2.100000000000000000e+02,-9.170049609116799161e+01,2.888154704123735428e-04,4.029045104980468750e-01,5.154448151588439941e-01
2.110000000000000000e+02,-9.170048182611355969e+01,2.944627194665372372e-04,4.057705998420715332e-01,5.183084011077880859e-01
2.120000000000000000e+02,-9.170046613460783647e+01,3.001886361744254827e-04,4.086434543132781982e-01,5.211694836616516113e-01
2.130000000000000000e+02,-9.170045258289849244e+01,3.059937153011560440e-04,4.115230143070220947e-01,5.240280628204345703e-01
2.140000000000000000e+02,-9.170043831798699330e+01,3.118786262348294258e-04,4.144092798233032227e-01,5.268841385841369629e-01
2.150000000000000000e+02,-9.170042333988034500e+01,3.178438637405633926e-04,4.173022210597991943e-01,5.297375321388244629e-01
2.160000000000000000e+02,-9.170040907506488281e+01,3.238901263102889061e-04,4.202018678188323975e-01,5.325883626937866211e-01
2.170000000000000000e+02,-9.170039481029627382e+01,3.300179960206151009e-04,4.231081604957580566e-01,5.354364514350891113e-01
2.180000000000000000e+02,-9.170037983233967793e+01,3.362280840519815683e-04,4.260210990905761719e-01,5.382817983627319336e-01
2.190000000000000000e+02,-9.170036449781858323e+01,3.425208851695060730e-04,4.289406538009643555e-01,5.411244034767150879e-01
2.200000000000000000e+02,-9.170035130304142967e+01,3.488971560727804899e-04,4.318668246269226074e-01,5.439642071723937988e-01
2.210000000000000000e+02,-9.170033668184871090e+01,3.553574788384139538e-04,4.347995817661285400e-01,5.468010902404785156e-01
2.220000000000000000e+02,-9.170032206070521852e+01,3.619022027123719454e-04,4.377388954162597656e-01,5.496351718902587891e-01
2.230000000000000000e+02,-9.170030850944544909e+01,3.685321134980767965e-04,4.406847655773162842e-01,5.524662733078002930e-01
