x,magnitude,phase
8.033502e-03,1.479079e-01,4.106680e+01
8.107910e-03,1.485423e-01,4.104937e+01
8.183007e-03,1.491792e-01,4.103187e+01
8.258799e-03,1.498186e-01,4.101430e+01
8.335294e-03,1.504605e-01,4.099666e+01
8.412497e-03,1.511050e-01,4.097893e+01
8.490415e-03,1.517519e-01,4.096114e+01
8.569055e-03,1.524014e-01,4.094327e+01
8.648423e-03,1.530535e-01,4.092532e+01
8.728527e-03,1.537081e-01,4.090730e+01
8.809372e-03,1.543652e-01,4.088920e+01
8.890966e-03,1.550249e-01,4.087103e+01
8.973316e-03,1.556872e-01,4.085278e+01
9.056428e-03,1.563520e-01,4.083445e+01
9.140311e-03,1.570195e-01,4.081604e+01
9.224970e-03,1.576895e-01,4.079756e+01
9.310413e-03,1.583622e-01,4.077900e+01
9.396648e-03,1.590374e-01,4.076036e+01
9.483682e-03,1.597153e-01,4.074165e+01
9.571522e-03,1.603958e-01,4.072285e+01
9.660175e-03,1.610790e-01,4.070398e+01
9.749649e-03,1.617647e-01,4.068503e+01
9.839952e-03,1.624532e-01,4.066599e+01
9.931092e-03,1.631442e-01,4.064688e+01
1.002308e-02,1.638380e-01,4.062769e+01
1.011591e-02,1.645344e-01,4.060842e+01
1.020961e-02,1.652335e-01,4.058907e+01
1.030417e-02,1.659353e-01,4.056963e+01
1.039961e-02,1.666398e-01,4.055012e+01
1.049593e-02,1.673470e-01,4.053052e+01
1.059315e-02,1.680569e-01,4.051084e+01
1.069126e-02,1.687695e-01,4.049108e+01
1.079029e-02,1.694849e-01,4.047124e+01
1.089023e-02,1.702030e-01,4.045131e+01
1.099110e-02,1.709238e-01,4.043131e+01
1.109290e-02,1.716474e-01,4.041121e+01
1.119564e-02,1.723737e-01,4.039104e+01
1.129934e-02,1.731028e-01,4.037078e+01
1.140400e-02,1.738347e-01,4.035044e+01
1.150962e-02,1.745694e-01,4.033001e+01
1.161623e-02,1.753068e-01,4.030950e+01
1.172382e-02,1.760470e-01,4.028890e+01
1.183241e-02,1.767901e-01,4.026821e+01
1.194200e-02,1.775359e-01,4.024744e+01
1.205261e-02,1.782846e-01,4.022659e+01
1.216424e-02,1.790361e-01,4.020565e+01
1.227691e-02,1.797905e-01,4.018462e+01
1.239062e-02,1.805477e-01,4.016350e+01
1.250539e-02,1.813077e-01,4.014230e+01
1.262121e-02,1.820706e-01,4.012101e+01
1.273811e-02,1.828363e-01,4.009963e+01
1.285610e-02,1.836050e-01,4.007817e+01
1.297517e-02,1.843765e-01,4.005661e+01
1.309535e-02,1.851509e-01,4.003497e+01
1.321664e-02,1.859282e-01,4.001323e+01
1.333906e-02,1.867083e-01,3.999141e+01
1.346261e-02,1.874915e-01,3.996950e+01
1.358730e-02,1.882775e-01,3.994750e+01
1.371315e-02,1.890664e-01,3.992540e+01
1.384016e-02,1.898583e-01,3.990322e+01
1.396835e-02,1.906531e-01,3.988095e+01
1.409773e-02,1.914509e-01,3.985858e+01
1.422830e-02,1.922516e-01,3.983612e+01
1.436009e-02,1.930553e-01,3.981357e+01
1.449310e-02,1.938620e-01,3.979093e+01
1.462733e-02,1.946716e-01,3.976819e+01
1.476281e-02,1.954842e-01,3.974537e+01
1.489955e-02,1.962998e-01,3.972244e+01
1.503755e-02,1.971185e-01,3.969943e+01
1.517683e-02,1.979401e-01,3.967632e+01
1.531740e-02,1.987647e-01,3.965312e+01
1.545928e-02,1.995924e-01,3.962982e+01
1.560246e-02,2.004230e-01,3.960643e+01
1.574698e-02,2.012568e-01,3.958294e+01
1.589283e-02,2.020935e-01,3.955935e+01
1.604003e-02,2.029333e-01,3.953567e+01
1.618860e-02,2.037762e-01,3.951190e+01
1.633854e-02,2.046222e-01,3.948803e+01
1.648987e-02,2.054712e-01,3.946406e+01
1.664260e-02,2.063233e-01,3.943999e+01
1.679675e-02,2.071784e-01,3.941582e+01
1.695232e-02,2.080367e-01,3.939156e+01
1.710934e-02,2.088981e-01,3.936720e+01
1.726781e-02,2.097625e-01,3.934274e+01
1.742775e-02,2.106301e-01,3.931818e+01
1.758917e-02,2.115008e-01,3.929353e+01
1.775208e-02,2.123747e-01,3.926877e+01
1.791650e-02,2.132517e-01,3.924391e+01
1.808245e-02,2.141318e-01,3.921896e+01
1.824993e-02,2.150150e-01,3.919390e+01
1.841897e-02,2.159015e-01,3.916874e+01
1.858957e-02,2.167910e-01,3.914348e+01
1.876175e-02,2.176838e-01,3.911812e+01
1.893552e-02,2.185797e-01,3.909266e+01
1.911091e-02,2.194788e-01,3.906709e+01
1.928792e-02,2.203811e-01,3.904142e+01
1.946656e-02,2.212866e-01,3.901565e+01
1.964687e-02,2.221953e-01,3.898978e+01
1.982884e-02,2.231073e-01,3.896380e+01
2.001250e-02,2.240224e-01,3.893772e+01
2.019786e-02,2.249407e-01,3.891153e+01
2.038493e-02,2.258623e-01,3.888524e+01
2.057374e-02,2.267871e-01,3.885885e+01
2.076430e-02,2.277152e-01,3.883235e+01
2.095662e-02,2.286465e-01,3.880574e+01
2.115073e-02,2.295810e-01,3.877903e+01
2.134663e-02,2.305189e-01,3.875221e+01
2.154435e-02,2.314599e-01,3.872528e+01
2.174389e-02,2.324043e-01,3.869825e+01
2.194529e-02,2.333519e-01,3.867111e+01
2.214855e-02,2.343028e-01,3.864387e+01
2.235370e-02,2.352571e-01,3.861651e+01
2.256074e-02,2.362146e-01,3.858905e+01
2.276970e-02,2.371754e-01,3.856147e+01
2.298060e-02,2.381395e-01,3.853379e+01
2.319345e-02,2.391069e-01,3.850600e+01
2.340827e-02,2.400777e-01,3.847810e+01
2.362508e-02,2.410518e-01,3.845009e+01
2.384390e-02,2.420292e-01,3.842197e+01
2.406475e-02,2.430100e-01,3.839374e+01
2.428764e-02,2.439941e-01,3.836540e+01
2.451260e-02,2.449815e-01,3.833694e+01
2.473964e-02,2.459723e-01,3.830838e+01
2.496878e-02,2.469665e-01,3.827970e+01
2.520005e-02,2.479640e-01,3.825091e+01
2.543346e-02,2.489650e-01,3.822200e+01
2.566903e-02,2.499692e-01,3.819299e+01
2.590678e-02,2.509769e-01,3.816386e+01
2.614673e-02,2.519880e-01,3.813461e+01
2.638891e-02,2.530024e-01,3.810526e+01
2.663333e-02,2.540203e-01,3.807578e+01
2.688001e-02,2.550415e-01,3.804620e+01
2.712898e-02,2.560662e-01,3.801649e+01
2.738025e-02,2.570942e-01,3.798668e+01
2.763385e-02,2.581257e-01,3.795674e+01
2.788980e-02,2.591606e-01,3.792669e+01
2.814812e-02,2.601990e-01,3.789653e+01
2.840884e-02,2.612408e-01,3.786624e+01
2.867196e-02,2.622860e-01,3.783584e+01
2.893753e-02,2.633346e-01,3.780532e+01
2.920556e-02,2.643867e-01,3.777469e+01
2.947606e-02,2.654423e-01,3.774393e+01
2.974908e-02,2.665013e-01,3.771306e+01
3.002462e-02,2.675637e-01,3.768207e+01
3.030271e-02,2.686297e-01,3.765095e+01
3.058338e-02,2.696991e-01,3.761972e+01
3.086665e-02,2.707720e-01,3.758837e+01
3.115254e-02,2.718483e-01,3.755690e+01
3.144108e-02,2.729281e-01,3.752531e+01
3.173230e-02,2.740115e-01,3.749359e+01
3.202621e-02,2.750983e-01,3.746176e+01
3.232284e-02,2.761886e-01,3.742980e+01
3.262222e-02,2.772824e-01,3.739772e+01
3.292437e-02,2.783796e-01,3.736552e+01
3.322933e-02,2.794804e-01,3.733320e+01
3.353710e-02,2.805848e-01,3.730075e+01
3.384773e-02,2.816926e-01,3.726818e+01
3.416123e-02,2.828039e-01,3.723548e+01
3.447764e-02,2.839187e-01,3.720267e+01
3.479698e-02,2.850371e-01,3.716972e+01
3.511928e-02,2.861590e-01,3.713666e+01
3.544456e-02,2.872844e-01,3.710346e+01
3.577285e-02,2.884134e-01,3.707014e+01
3.610419e-02,2.895459e-01,3.703670e+01
3.643859e-02,2.906819e-01,3.700313e+01
3.677609e-02,2.918214e-01,3.696943e+01
3.711672e-02,2.929645e-01,3.693561e+01
3.746050e-02,2.941112e-01,3.690166e+01
3.780747e-02,2.952614e-01,3.686758e+01
3.815765e-02,2.964151e-01,3.683337e+01
3.851107e-02,2.975724e-01,3.679904e+01
3.886777e-02,2.987332e-01,3.676458e+01
3.922777e-02,2.998976e-01,3.672998e+01
3.959110e-02,3.010656e-01,3.669526e+01
3.995780e-02,3.022371e-01,3.666041e+01
4.032790e-02,3.034121e-01,3.662543e+01
4.070142e-02,3.045908e-01,3.659032e+01
4.107841e-02,3.057730e-01,3.655508e+01
4.145888e-02,3.069587e-01,3.651971e+01
4.184289e-02,3.081481e-01,3.648421e+01
4.223044e-02,3.093410e-01,3.644857e+01
4.262159e-02,3.105374e-01,3.641281e+01
4.301636e-02,3.117375e-01,3.637691e+01
4.341478e-02,3.129411e-01,3.634088e+01
4.381690e-02,3.141483e-01,3.630472e+01
4.422274e-02,3.153590e-01,3.626842e+01
4.463234e-02,3.165734e-01,3.623199e+01
4.504573e-02,3.177913e-01,3.619543e+01
4.546295e-02,3.190127e-01,3.615873e+01
4.588404e-02,3.202378e-01,3.612190e+01
4.630903e-02,3.214664e-01,3.608493e+01
4.673795e-02,3.226986e-01,3.604783e+01
4.717085e-02,3.239344e-01,3.601059e+01
4.760775e-02,3.251738e-01,3.597322e+01
4.804870e-02,3.264167e-01,3.593571e+01
4.849374e-02,3.276633e-01,3.589806e+01
4.894290e-02,3.289134e-01,3.586028e+01
4.939622e-02,3.301670e-01,3.582236e+01
4.985373e-02,3.314243e-01,3.578431e+01
5.031549e-02,3.326851e-01,3.574611e+01
5.078152e-02,3.339495e-01,3.570778e+01
5.125187e-02,3.352174e-01,3.566931e+01
5.172657e-02,3.364890e-01,3.563070e+01
